wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
171,1,9050,2.61,90.5,3469,100,10,1310.06,10.52,6.35,59994.85,11.66,2.23,118
171,1,7100,2.57,88.75,2766,80,9.68,1313.34,10.5,6.27,58067.73,13.12,2.3,90
171,1,9800,4.69,86.73,2088,113,10,1422.21,10.6,6.41,59979.34,12.98,2.22,113
171,1,8200,5.07,93.18,1618,88,9.44,1313.27,10.76,6.77,56664.75,13.28,2.56,125
171,1,10150,4.37,98.54,2323,103,9.66,918.09,10.16,6.12,57959.73,13.06,1.9,144
171,1,9000,5.27,98.9,1707,91,9.59,1299.92,10.38,6.42,57550.27,13.12,1.91,119
171,1,11800,7.52,100,1569,118,9.78,1214.66,10.22,5.78,58700.16,13.17,1.87,124
171,1,8650,5.24,99.43,1650,87,9.8,1611.73,10.67,7.43,58800.42,12.95,1.87,100
171,1,9900,6.26,101.02,1581,98,9.81,1339.58,10.61,9.52,58851.01,12.15,2.04,116
171,1,10756,1.83,99.59,5886,108,9.92,1046.41,10.22,7.52,59507.21,13.35,1.85,164
171,1,10399.9,7.9,99.05,1317,105,9.89,1062.37,12.48,5.75,59310.7,13.6,1.69,154
171,1,11798,8.51,97.5,1386,121,10.13,1009.55,12.41,6.12,60779.88,14.27,1.65,200
173,1,14708.8,2.72,474.48,5415,31,2.38,1895.24,10.24,6.5,47640.71,3.94,47.55,180
173,1,17296,2.63,411.81,6572,42,2.74,1442.32,10.29,6.07,54740.79,3.81,39.72,212
173,1,17264,3.1,479.56,5574,36,3.07,1044.82,10.2,5.64,61359.34,3.61,38.2,210
175,1,40799.47,5.44,458.42,7500,89,15.45,570.93,10.17,4.15,171669.18,6.18,19.03,446
175,1,38737.91,5.35,578.18,7243,67,15.57,511.23,10.26,4.49,172973.26,6.14,18.7,413
175,1,40365.5,5.42,593.61,7448,68,15.55,268.55,10.22,4.43,172728.36,6.05,19.14,416
175,1,38704.07,5.15,460.76,7510,84,15.57,487.6,10.16,4.42,172968.8,5.8,18.75,419
175,1,39869,5.74,198.35,6940,201,15.34,479.43,10.22,5.07,170460.82,5.65,15.84,475
175,1,36556.5,5.45,89.6,6713,408,15.49,472.63,10.41,6.36,172137.56,5.65,14.74,409
175,1,36755.43,5.16,91.89,7126,400,15.55,628,10.42,6.21,172744.38,5.58,13.74,401
175,1,38600.93,5.6,56.19,6890,687,16.04,329.03,10.18,4.94,178265.9,5.5,12.02,687
195,1,2292,2.61,23.88,877,96,0.58,320.12,13.6,4.47,2923.15,12.13,31.3,141
