wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
60,红岭创投,0,234666.66,5.76,88.62,40736,2648,115.26,23,11377.91,5.54,1.88,691571.37,1.58,3.14,58245
84,捞财宝,0,99706.04,3.35,6.23,29744,15995,188.15,2.43,-203.14,10.96,33.41,553538.88,3.96,0.03,25283
84,捞财宝,0,104680.8,3.64,6.15,28724,17026,182.38,3.67,444.78,10.95,31.27,536564.78,5.5,0.04,30145
84,捞财宝,0,65524.8,3.11,4.84,21039,13527,172.07,6,-346.97,10.95,30.14,506215.72,6.11,0.04,21543
84,捞财宝,0,54431.9,2.93,4.54,18560,11979,155.9,4.9,244.17,10.94,29.94,458660.34,6.31,0.04,16597
84,捞财宝,0,77576.04,4.4,4.46,17621,17398,143.62,6,323.6,11.05,30.85,422515.88,6.56,0.04,21757
84,捞财宝,0,85925.95,4.19,4.19,20486,20527,131.94,4.5,-2409.99,11.07,30.57,388179.3,6.99,0.05,28032
84,捞财宝,0,84500.77,5.74,5.21,14719,16227,128.89,4.1,-301.21,11.04,28.1,379204.22,7.28,0.05,22041
84,捞财宝,0,61752.06,4.38,3.82,14108,16166,120,5.7,-376.15,10.96,27.93,353044.95,7.11,0.05,19872
84,捞财宝,0,36842.86,4.88,3.39,7553,10882,118.87,3.9,313.85,10.96,25.12,349720.74,7.09,0.05,13985
91,团贷网,1,609665.76,3.15,15.6,193566,39089,153.38,24.23,18675.31,9.65,7.19,1578702.64,0.97,1.54,127316
91,团贷网,1,657898.44,3.03,18.97,216812,34676,122.95,22.28,15990.84,9.63,5.44,1265550.02,0.73,1.36,141883
91,团贷网,1,611120.65,2.67,15.34,228527,39844,123.95,26.48,15458.1,9.13,7.78,1275809.73,0.57,1.2,124975
91,团贷网,1,470303.93,1.99,11.89,235886,39556,113.01,15.57,-3334.65,9.85,12.4,1163233.38,0.6,1.04,76882
91,团贷网,1,358158.34,1.64,8.08,218927,44352,112.2,2.22,12641.36,10.38,20.91,1154885.28,0.54,0.83,45070
91,团贷网,1,180663.44,1.06,8.71,170509,20751,113.11,3.82,704.48,10.49,21,1164228.64,0.58,0.26,20969
91,团贷网,1,197432.13,0.83,8.71,239054,22674,119.5,1.47,-483.86,10.6,22.08,1230015.86,0.52,0.24,23255
91,团贷网,1,203849.73,0.83,8.93,244151,22834,130.24,0.28,-3348.25,10.61,22.69,1340599.04,0.53,0.18,23368
91,团贷网,1,214207.22,0.86,9.26,249593,23122,141.16,1.36,9694.92,10.58,22.22,1452922.89,0.49,0.15,23780
91,团贷网,1,214016.77,0.84,9.64,255278,22200,151.6,7.44,-3291.29,10.56,21.79,1560428.73,0.47,0.1,23150
91,团贷网,1,161820.1,0.69,6.14,233628,26340,150.64,696.25,-6056.86,10.6,21.12,1550552.2,0.52,0.07,39353
93,人人聚财,0,56689.31,1.89,8.22,30019,6900,59.71,6.33,809.26,9.8,9.29,321053.81,3.54,0.25,7726
93,人人聚财,0,68705.74,1.98,8.21,34623,8368,63.84,7.25,1896.19,9.8,10.4,343258.03,3.21,0.25,8676
93,人人聚财,0,62369.83,2.11,8.08,29607,7720,65.48,7.67,-1943.22,9.8,14.95,352063.4,2.91,0.21,8242
93,人人聚财,0,67681.93,1.71,7.44,39558,9096,67.21,6.49,392.69,9.8,14.99,361374.78,2.54,0.19,9606
93,人人聚财,0,69491.28,1.7,7.58,40818,9167,65.89,17.77,1352.38,9.8,19.89,354299.07,2.23,0.22,9879
93,人人聚财,0,9062.64,0.36,6.98,25380,1298,59.3,7.18,-2564.47,10.41,15.29,318834.23,2.18,0.24,1740
93,人人聚财,0,45012.06,1.3,3.44,34632,13077,58.01,11.2,5507.02,8.98,7.49,311902.1,2.2,0.23,146051
93,人人聚财,0,105854.72,3.18,4.11,33273,25746,57.82,1.08,-858.43,9.53,10.72,310891.3,1.86,0.22,921108
93,人人聚财,0,84205.93,3.21,3.85,26217,21877,59.17,0.02,556.57,10.01,13.82,318179.52,1.86,0.2,732587
93,人人聚财,0,99534.01,3.14,4.24,31655,23450,61.16,0.04,-3006.81,10.38,16.98,328866.18,3.34,0.18,1119740
93,人人聚财,0,78546.27,2.73,3.98,28805,19720,55.24,0.01,-409.22,9.62,10.17,297042.87,3.19,0.19,1249784
93,人人聚财,0,43075.5,1.61,3.97,26773,10852,52.8,0,1551.26,9.92,12.51,283928.69,3.16,0.18,1140418
93,人人聚财,0,49447.91,1.85,3.87,26667,12782,55.31,1,2810.71,9.82,14.11,297382.08,2.9,0.17,475640
93,人人聚财,0,65639.69,2.51,4.48,26174,14667,51.94,0.4,567.5,9.88,13.54,279291.46,2.91,0.18,436515
93,人人聚财,0,49139.42,1.87,4.36,26223,11281,51.11,0.3,413.33,10.19,15.87,274793.44,2.87,0.17,379136
93,人人聚财,0,40200.56,1.53,4.14,26254,9701,52.15,0.3,766.24,10.66,19.12,280419.25,2.73,0.16,396103
93,人人聚财,0,32075.08,1.22,3.98,26226,8051,52.12,0.2,-243.46,10.95,21.03,280238.91,2.57,0.17,357954
93,人人聚财,0,27704.81,1.05,3.78,26462,7323,52.9,0.1,979.82,9.97,13.33,284429.69,2.47,0.17,515454
95,新新贷,0,18983.02,2.48,12.57,7648,1510,19.11,0.11,1192.6,10.78,12.56,95571.79,13.33,5.05,1579
95,新新贷,0,24607,3.44,14,7144,1758,21.52,0.02,2361.01,11.31,11.59,107578.34,13.86,5.35,2043
95,新新贷,0,18572.79,2.6,11.54,7133,1609,22.41,0.01,889.25,10.51,11.17,112056.65,13.9,4.56,1635
95,新新贷,0,20386.06,2.36,9.2,8649,2217,23.75,0.02,-271.71,10.85,11.7,118763.22,12.99,4.27,2223
96,投哪网,0,146588.44,1.73,7.61,84578,19272,93.07,0.01,-710.8,8.3,6.97,930735.09,15.01,0.1,19416
96,投哪网,0,158972.82,2.18,7.88,72962,20183,88.11,0,815.34,8.28,6.5,881138.14,14.78,0.1,20324
96,投哪网,0,194524.09,2.68,8.19,72467,23739,86.99,0.16,2873.89,9.27,14.02,869882.69,15.78,0.1,23873
96,投哪网,0,259540,3.35,7.91,77452,32807,94.76,0.02,3031.51,9.84,18.37,947607.8,17.22,0.09,33150
97,一起好,1,30552.67,3.82,0.23,8007,130420,74.97,2.8,180.65,12.4,7.61,150687.89,7.66,1,140111
97,一起好,1,34632.49,4.34,0.2,7980,169500,56.51,2.19,684.41,12.48,6.8,113589.64,7.45,1.47,174922
97,一起好,1,31499.99,4.09,0.21,7705,147475,73.51,2.61,-91.99,12.4,6.4,147759.21,6.89,0.92,152202
97,一起好,1,10442,2.02,0.24,5159,43567,67.58,4.35,-231.92,12.29,6.27,135827.41,7.24,0.99,43670
97,一起好,1,10800.57,2.01,2.43,5380,4442,65.01,20.45,-161.6,13.27,13.35,130667.65,7.5,1.05,4563
97,一起好,1,3865.07,1.09,0.87,3553,4441,80.56,15.7,-1718.82,13.42,12.79,161923.3,6.77,0.84,4459
97,一起好,1,11022.91,2.09,0.85,5273,12921,59.43,7.17,73.29,13.39,12.06,119446.47,7.14,1.1,13044
97,一起好,1,11318.58,1.96,0.93,5766,12142,50.08,34.03,-114.9,13.43,12.62,100661.45,7.37,1.26,12200
97,一起好,1,13368.32,2.23,0.56,6008,24039,50.28,42.26,301.77,12.49,11.68,101061.76,7.23,1.21,24287
102,三信贷,1,12144.45,5.45,12.93,2229,939,6.23,45.28,266.71,10.66,3.95,31159.86,12.7,5.58,1102
102,三信贷,1,8825.14,4.74,13.6,1862,649,5.63,43.8,327.64,10.77,4.22,28134,12.65,5.97,754
102,三信贷,1,13390.6,6.93,16.59,1933,807,6.16,33.15,203.73,10.45,3.66,30813.21,11.2,5.11,997
102,三信贷,1,14689.3,8.99,18.76,1634,783,6.4,28.8,109.39,10.39,3.5,31987.22,12.1,5.89,1001
102,三信贷,1,12770.36,8.37,22.52,1526,567,6.06,69.28,625.61,11.74,5.02,30315.17,10.24,4.9,654
102,三信贷,1,8246.54,7.25,26.95,1138,306,5.73,76.76,48.71,11.04,3.87,28652.95,10.22,4.33,315
102,三信贷,1,11712.9,8.64,22.83,1355,513,5.57,82.44,71.36,11.61,4.76,27845.13,10.76,3.71,529
102,三信贷,1,9420.2,7.76,47.82,1214,197,5.23,164.32,174.11,11.59,4.6,26173.21,11.3,3.82,203
116,开鑫贷,0,2581.09,7.07,2581.09,365,1,43.82,145.7,-8095.45,6.14,7.36,614506.92,9.95,94.11,289
116,开鑫贷,0,3343.11,7.98,3343.11,419,1,38.16,456.9,-2824.76,6.38,6.5,535108.86,10.86,95.98,376
116,开鑫贷,0,2540.89,6.63,2540.89,383,1,33.6,300.76,-3037.38,6.39,6.52,471261.77,11.99,95.92,309
116,开鑫贷,0,3385.21,6.97,3385.21,486,1,26.9,347.08,-32511.66,6.86,9.94,377309.48,12.56,95.86,406
