wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
575,1,4567.1,3.54,25.66,1290,178,2.85,638.61,12.6,3.19,14249.89,19.81,7.01,216
4315,1,12048,2.23,38.62,5414,312,3.95,585.29,12.2,7.18,39493.59,5.28,20.81,391
1614,1,11099.46,2.59,13.03,4284,852,8.08,162.85,11.43,3.44,40389.71,4.65,6.36,1107
53,1,42804.19,5.38,30.31,7949,1412,3.8,58.41,10.49,4.82,115127.52,5.75,5.41,13408
3051,1,21870.91,5.67,9.5,3855,2301,6.92,62.71,11.16,6.48,41546.92,9.76,2.77,2361
511,1,8210.95,7.17,42.77,1145,192,9.45,393.98,14.22,4.13,28339.68,11.58,3.53,689
1881,1,58781,3.56,27.62,16514,2128,11.57,87.37,11.67,3.61,173508.64,3.8,1.99,2447
1229,1,2000,4.39,100,456,20,19.8,1606.98,12.95,10.8,19800.56,19.34,5.05,20
118,1,3200,3.42,91.43,937,35,4.84,2274.04,12.37,9,24206.73,13.95,8.24,57
971,1,333.38,1.51,41.67,221,8,0.02,3262.42,10.72,0.16,83.46,67.74,100,30
117,1,25899.25,5.01,41.64,5173,622,14.3,135.79,10.63,5.86,143030.77,7.15,41.74,1766
6592,1,7902.47,4.15,183.78,1904,43,2.32,594.65,12.23,3.69,18555.3,6.13,61.6,369
118,1,4094,2.47,89,1660,46,4.85,1359.82,10.78,6.49,24226.78,13.88,11.57,100
1653,1,3619.23,2.14,8.52,1690,425,5.84,68.07,14.78,10.02,30387.67,12.22,2.65,449
4146,1,18993.81,13.25,6.44,1433,2951,12.45,88.05,11.5,2.43,37353.8,67.71,3.05,3358
435,1,5261.46,1.81,8.68,2901,606,15.58,784.13,12.54,10.7,34616.04,12.15,1.45,666
674,1,20378.8,2.86,3,7132,6784,15.87,321.39,9.83,4.6,79371.23,3.96,40.2,392
905,1,6321.73,3.61,74.37,1750,85,4.66,364.96,16.79,2.94,13975.41,9.14,74.57,509
3955,1,6248.4,6.75,20.22,926,309,1.83,413.53,14.8,3.91,19283.46,19.95,50.9,357
675,1,3410.5,6.3,13.81,541,247,9.18,41.2,18.95,26.81,27537.32,14.65,4.02,248
933,1,14650,2.51,252.59,5838,58,3.22,528.13,11.63,3.26,64299.99,11.5,63.37,295
171,1,10399.9,7.9,99.05,1317,105,9.89,1062.37,12.48,5.75,59310.7,13.6,1.69,154
