wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
96,0,146588.44,1.73,7.61,84578,19272,93.07,0.01,8.3,6.97,930735.09,15.01,0.1,19416
96,0,158972.82,2.18,7.88,72962,20183,88.11,0,8.28,6.5,881138.14,14.78,0.1,20324
96,0,194524.09,2.68,8.19,72467,23739,86.99,0.16,9.27,14.02,869882.69,15.78,0.1,23873
96,0,259540,3.35,7.91,77452,32807,94.76,0.02,9.84,18.37,947607.8,17.22,0.09,33150
96,0,145028.43,2.8,7.03,51824,20617,78.89,0,9.18,12.39,788908.01,17.82,0.09,20831
116,0,2581.09,7.07,2581.09,365,1,43.82,145.7,6.14,7.36,614506.92,9.95,94.11,289
116,0,3343.11,7.98,3343.11,419,1,38.16,456.9,6.38,6.5,535108.86,10.86,95.98,376
116,0,2540.89,6.63,2540.89,383,1,33.6,300.76,6.39,6.52,471261.77,11.99,95.92,309
116,0,3385.21,6.97,3385.21,486,1,26.9,347.08,6.86,9.94,377309.48,12.56,95.86,406
116,0,3383.95,7.64,3383.95,443,1,25.11,229.55,6.83,9.36,352144.23,12.75,96.14,442
125,0,1465,7.88,41.86,186,35,0.38,2076.73,11.24,4.86,3843.44,27.13,30.58,52
125,0,945,5.98,36.35,158,26,0.37,2172.31,11.09,4.65,3723.95,28.76,28.02,36
125,0,1325,7.75,37.86,171,35,0.45,2099.46,11.08,4.69,4544.53,26.49,25.6,52
125,0,1155,6.14,48.13,188,24,0.49,2337.7,11.3,5.08,4850.67,25.64,21.57,43
125,0,723,4.38,40.17,165,18,0.48,2760.72,10.88,4.73,4783.07,26.79,21.12,30
125,0,990,6.11,49.5,162,20,0.51,1530.72,11.35,5.21,5054.75,25.98,19.78,37
125,0,820,7.45,26.45,110,31,0.46,921.16,11.3,5.23,4589.74,28.31,21.79,37
125,0,1140.1,6.63,36.78,172,31,0.5,491.24,11.39,5.24,5016.85,26.72,19.93,42
125,0,1261,7.21,31.53,175,40,0.52,754.57,11.22,5.26,5177.85,29.86,19.89,47
125,0,940,6.67,32.41,141,29,0.46,323.19,10.66,5.5,4607.83,29.83,21.7,37
125,0,640,5.16,29.09,124,22,0.47,814.37,9.78,4.45,4684.38,30.63,21.35,24
125,0,820,7.88,35.65,104,23,0.48,307.9,9.56,3.98,4823.36,32.35,20.73,29
125,0,430,5.58,30.71,77,14,0.46,1794.1,9.75,4.16,4630.28,31.61,21.6,17
125,0,0,0,0,0,0,0.46,0,0,0,4626.93,32.32,21.61,0
125,0,716,0.38,23.87,1905,30,0.41,2466.3,23.38,4.8,4069.6,33.68,24.08,33
125,0,406.2,0.88,20.31,462,20,0.32,3978.2,9.43,4.1,3247.31,40.47,26.79,31
125,0,796,7.73,14.74,103,54,0.32,885.8,8.01,1.97,3178.31,53.08,23.28,62
125,0,210.4,0.82,13.15,256,16,0.29,1350.3,8.97,1.81,2897.51,56.32,23.81,37
125,0,29.2,0.66,9.73,44,3,0.17,5824.4,8,2,1670.46,53.24,35.92,5
