wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
3331,甬e贷,0,1299.2,2.22,28.24,585,46,0.68,1871.63,-20,10.36,1.89,3398.38,19.59,31.12,81
3344,泰山金融,0,1680,3.18,93.33,529,18,3.92,5.1,-53.7,9.18,9.2,19576.06,7.88,5.62,47
3346,钱满仓,1,6561.53,1.87,1.1,3516,5946,3.71,642.49,69.71,9.69,3.9,18571.18,22.18,19.96,275
3347,钜宝盆,0,26253.23,8.65,10.07,3034,2608,67.12,2.2,-1122.86,8,35.8,671171.56,8.31,0.03,2608
3351,车财网,0,1447.5,3.7,12.81,391,113,1.05,601.02,14.43,13.48,1.91,5240.37,23.59,18.37,155
3364,车e融,1,7735.94,10.82,53.35,715,145,1.24,224.92,103.14,10,1.12,7735.92,46.08,22.25,524
3402,猴子理财,1,10443.54,6.19,0.11,1687,98884,2,300.91,359.07,10.57,0.97,10002.32,11.16,0.02,350
3416,多多理财,1,42536.43,2.04,8.74,20869,4869,10.08,173.78,467.49,11.39,3.9,100799.34,2.98,0.9,5096
3462,德鸿金融,0,28368.68,8.81,32.99,3219,860,13.59,11.2,-657.66,9.75,5.53,67929.87,8.92,1.47,47549
3483,合众e贷,0,44890.82,4.75,0.26,9457,173191,24.77,0.2,-543.64,10.92,11.35,123839.67,3.28,0.13,802384
3510,皓添金融,0,835,12.65,64.23,66,13,0.72,2707.8,-40,13.69,9.09,3575.04,57.35,27.97,13
3513,就爱金融网,0,579,12.32,82.71,47,7,0.43,1671.74,0,8.96,3.61,2152.62,49.76,46.46,7
3558,人众金服,1,94903.5,5.53,1.22,17162,78024,21.37,1.15,2291.19,10.47,2.18,148413.14,2.34,2.95,217089
3576,百财车贷,0,1168.77,3.91,7,299,167,25.37,2.46,6.86,7.74,1.61,2993.47,41.02,11.91,172
3596,e融所,0,8840.99,0.99,1.07,8933,8229,14.12,0,-153.99,11.89,27.29,141222.14,4.25,0.45,233866
3642,口袋理财,0,140588.41,3.27,0.25,43035,553673,34.37,0,-601.26,12,1.19,171863.09,1.51,0.35,851641
3684,汇诚金服,0,3297.56,6.74,13.68,489,241,1.11,492.38,-59.3,8.67,1.82,6086.82,41.16,16.42,260
3742,爱蚂蚁,0,868,11.27,173.6,77,5,2.02,422.02,20,18.29,2.67,2022.97,45.26,100,41
3769,厚本金融,0,19940.61,1.62,0.81,12289,24732,41.59,0,-127.37,10.18,15.47,127253.46,17.04,0.12,444529
3770,多维度,0,890,10.23,19.78,87,45,4.84,5.3,0,9,6,4836.96,37.68,20.67,47
3797,金投行,0,5221.05,5.57,6.69,938,781,3.04,1.9,-200.01,7.95,2.51,91224.24,5.7,1.21,979
3841,小诺理财,1,41482.57,7.39,0.82,5613,50592,35,3.8,-1360.89,8.51,8.46,350045.34,3.11,0.18,11805
3854,财富派(京),0,7500,2.8,163.04,2683,46,8.83,227.24,18.16,8.49,2.76,17650.89,19.22,54.66,117
3859,联连理财,0,9219.46,3.69,1.83,2501,5037,6.11,8.72,-199.2,12.42,9.73,30536.23,12.52,2.08,5079
3878,车邦贷(浙),1,2585.99,8.34,43.83,310,59,1.82,178.54,15.09,14.52,2.55,5635.3,26.06,89.98,435
3917,万家贷,0,2292,4.46,88.15,514,26,1.46,536.52,-23,9.81,2.38,7311.95,18.67,13.68,146
3921,乐享宝,0,219.31,1.84,14.62,119,15,0.27,251.5,-1.81,10.39,13.38,1331.55,14.9,48.92,17
3930,郑投网,0,5658.32,4.63,115.48,1223,49,11.97,685.96,-497.03,9.82,3.31,30524.84,6.8,64.2,126
3946,异享金融,0,1058.5,9.62,17.64,110,60,1.12,57.73,0,12,4.57,3373.94,42.85,27.09,62
3948,新富创投,0,1545.05,4.24,8.68,364,178,9.47,241.5,-11.85,9.42,8.87,9468.83,30.75,2.2,210
3955,中潮金服,1,4976.5,5.22,26.05,954,191,2.09,528.82,-26.99,14.97,3.46,21961.6,19.85,37.07,222
3974,惠恩资本,0,860.2,10.62,10.62,81,81,4.22,378.57,-4.18,10.42,6.66,4215.88,5.79,5.79,81
3980,叮咚钱包,0,52627.12,3.01,0.73,17462,72510,9.8,873.17,341.5,10.1,2.58,97961.02,2.09,1.67,255
3992,小树时代网贷,0,2155.33,7.09,0.31,304,6894,6.2,5.3,-47.82,12.72,11.53,12400.2,34.36,0.14,6905
3995,冠e通,0,68435.3,3.68,173.69,18611,394,46.12,348.94,5989.35,9.91,9.61,461185.92,1.89,5.58,694
4005,首金网,0,12447.66,3.03,0.48,4112,26136,7.87,1.03,437.78,8.91,8.47,78732.7,6.97,1.4,26590
4020,创贷网,0,861.3,15.38,5.98,56,144,1.37,109.24,8.08,11.59,1.82,1502.49,54.36,57.66,204
4023,OK贷,0,417.08,1.46,6.73,285,62,10.55,2761.04,-29.6,8.94,5.2,10547.43,26.08,3.6,62
4032,财富智汇,1,4625.45,6.6,185.02,701,25,2.63,23.1,194.44,15.78,2.56,13134.12,25.9,93.35,398
4038,悦享金服,0,1917.55,7.55,33.64,254,57,1.86,55.5,-39,8.23,1.77,3718.47,30.29,26.75,217
4065,海星宝理财,1,1263.62,1.41,10.8,899,117,1.79,9166.25,32.29,12.08,6.77,5718.5,8.23,6.69,117
4103,长吉贷,0,2101.9,11.81,65.68,178,32,5.68,3313.52,100,9.36,7.28,17037.13,30.26,5.87,33
4109,国泰·惠民益贷,1,10806.34,3.13,300.18,3458,36,3.83,1234.8,-136.23,9.44,3.46,38275.23,16.62,83.74,179
4116,赢众投,0,3445,344.5,344.5,10,10,9.85,631.18,50,9.79,4.79,24614.73,100,100,84
4126,金财动力,0,741.29,4.14,19.51,179,38,1.03,887.58,-50,10.72,5.72,5149.03,19.79,44.57,45
4142,嘉石榴,0,12053.62,8.18,30.83,1474,391,11.82,54.3,-178.3,8.7,7.12,59080.39,10.43,1.69,1366
4144,前海惠农,0,6340,5.72,44.34,1109,143,6.05,281,0,11.74,5.91,30250,9.52,3.31,306
4146,小九金服,1,15460.73,12.17,7.07,1270,2186,12.1,125.3,-10.38,11.33,2.25,36307.56,67.39,2.55,2531
4147,森昊好时贷,0,4935.64,7.94,11.24,622,439,6.83,655.05,104.66,8.93,20.22,68326.36,9.65,17.28,532
4153,白菜金融,0,12824.9,3.97,6.9,3232,1858,36.79,17.19,-1179.02,8.85,8.85,202343.83,9.19,0.43,2746
4182,e葱金融,0,3209,7.41,22.28,433,144,0.63,530.2,70.01,7.76,1.42,3171.02,41.01,31.54,155
4183,易享贷,0,42.16,3.51,14.05,12,3,1.15,2808.87,-5.15,9.95,3.39,5739.38,61.33,17.42,4
4197,零用贷,1,2218.67,4,19.29,554,115,3.28,888.5,-165.5,11.75,4.65,32793.99,6.88,0.61,115
4198,升值空间,0,1492.22,5.83,62.18,256,24,5.27,2580.23,-131.25,10.28,4.47,10535.52,21.97,9.73,154
4210,农信商贷,0,470,6.53,42.73,72,11,1.46,701.3,-10,9,2.95,1461.3,56.71,64.16,33
4211,来融金服,0,1784.71,9.15,44.62,195,40,12.46,1208.13,40,10.64,6.57,12459.89,29.78,9.27,49
4215,四海众投,0,3311.9,8.45,72,392,46,1.72,4.4,43.4,10.01,2.7,8624.04,16.44,19.93,322
4223,九金所,0,1584.53,3.6,66.02,440,24,6.74,69.44,-1.36,8.88,4.53,13482.56,12.73,9.27,26
4235,普汇云通,1,17000,2.7,100,6298,170,7.21,3517.27,319.99,13.04,7.89,93730.15,5.74,3.2,170
4244,玺欢钱,0,312.92,0.91,9.2,345,34,1.95,0,0,10.95,33.95,19538.17,38.97,1.03,34
4245,洋葱先生,0,2924.11,1.12,2.63,2608,1111,1.16,0,-69.97,8.73,10.98,12349.35,8.73,8.18,25818
4246,掌众财富,0,50286.7,5.98,0.33,8412,153630,79.06,0,-1041.17,10.4,2.43,79061.14,11.29,0.05,202360
4266,有喜财富,0,1198.65,9.22,10.51,130,114,13.22,0.65,-10.27,9.81,8.3,13218.35,46.23,1.62,114
4278,米金社,0,20492.55,5.5,16.33,3726,1255,6.73,1291,111.88,7.72,2.22,33625.26,24.78,34.21,1368
4280,微镇,0,2470.66,3.95,56.15,626,44,7.4,891.08,189.99,11.89,5.2,10251.12,15.11,12.09,89
4286,金筑财富,0,12075.13,11.5,95.08,1050,127,4.22,555.7,-100,8.48,1.92,21100.91,23.14,4.74,435
4300,普惠家,0,4921,2.3,16.91,2144,291,71.25,92.8,-319,9.23,16.39,427474.86,3.44,0.23,291
4312,e资产,1,1090.46,4.04,1090.46,270,1,0.18,807.96,38.4,16.88,5.41,2392.04,23.72,100,125
4315,今金贷,1,7577,2.31,33.83,3284,224,2.47,526.31,662.01,13.68,7.07,24682.85,4.05,9.36,230
4318,玺鉴,1,4927.4,9.21,182.5,535,27,5.25,612.15,25.61,9.11,2.28,13127.34,35.26,55.82,209
4324,前沿财富,1,2326.2,4.3,4,541,582,1.22,164.31,76.99,17.47,7.23,12234.13,21.59,1.5,582
4328,私房投,0,448,5.74,49.78,78,9,0.45,801.43,0,11.85,2.87,908,50.57,90.31,46
4343,银狐财富,1,8744.7,1.96,5.5,4471,1590,6.15,76.58,-102.85,11.92,2.75,30725.52,4.29,32.02,2146
4352,互惠理财网,0,10221.61,12.42,14.58,823,701,8.26,15.86,221.17,11.2,3.81,41290.95,32.92,3.91,1196
4353,牛币网,0,894,4.1,29.8,218,30,2.37,22074.83,-46.05,8.98,2.52,2367.86,30.68,43.47,30
4367,中再融,1,5303.88,1.92,18.88,2764,281,1.25,377.71,-63.3,10.2,3.26,12474.82,23.09,4.64,456
4387,聚宝珠,0,2530.24,7.64,23.65,331,107,0.54,3341.44,1503.51,10.65,6.92,2704.15,27.42,68.08,129
4389,新升贷,0,22912.22,80.39,4.91,285,4667,7.3,7.16,-270.58,12,1,36514.9,71.91,1.59,5044
4390,合家金融,1,38575.23,4.28,2967.33,9014,13,42.73,2188,-645.35,9.05,6.52,213650.42,2.96,98.65,324
4403,钱哆拉,0,2350,2.4,87.04,979,27,2.29,1870.2,-72.98,9.1,5.49,22900.77,22.71,4.37,49
4412,沙小僧,1,2912,2.36,69.33,1235,42,6.21,2463.46,-98.2,11.52,7.13,31035.26,4.17,3.22,44
4420,金盈所,1,14998.53,4.25,1666.5,3525,9,20.29,679.25,-36.94,8.14,6.11,101431.68,3.89,83.35,974
4439,深创金服,0,520,5.1,260,102,2,0.21,8936.55,61.97,10.34,2.73,1064.41,39.38,100,22
4531,荣通宝投资,0,113,5.65,22.6,20,5,0.33,1230.51,-39.13,9.97,4.78,1659.43,88.42,94.69,8
4535,中平金融,0,1530.19,10.27,43.72,149,35,1.17,5.41,143.4,7.2,6.29,11742.55,26.51,8.52,41
4539,橙天金融,0,800,10.26,100,78,8,1.67,48.4,-105.23,9.38,10.75,8366.86,22.38,11.95,8
4548,钱来也,0,279.9,4.83,34.99,58,8,0.13,2329.9,-20,10.43,2.38,1327.5,50.4,63.77,9
4566,蓝鲸金融,0,1851.12,2.66,66.11,696,28,2.51,1680.5,-50,8.24,4.22,7526.93,13.68,13.29,40
4577,脐橙金融,0,1205.5,2.88,9.2,419,131,1.55,788.6,12,10.17,5.29,7740.44,20.4,12.92,178
4580,海贷金服,0,2134.3,34.99,24.82,61,86,0.54,0.52,-39.8,13.86,2.45,2722.15,89.26,44.08,229
4582,爱理财,0,4259,9.4,39.8,453,107,1.66,343.39,-80,7.92,2.32,13288.06,15.86,19.87,222
4621,太空马,0,196.46,1.02,19.65,193,10,0.64,1157.88,10.58,8.07,2.82,6406.42,76.84,56.28,18
4631,银承派,0,5456.48,5.92,5.46,921,1000,2.7,1.5,-323.42,9.89,2.08,14192.28,51.71,6.66,30248
4650,花生米富,0,20009.95,11.77,0.21,1700,94989,43.15,0,-1126.97,11.15,1.84,43153.16,14.35,0.05,129497
4651,智佳金服,1,3537.9,0.47,13.1,7604,270,3.25,658.66,23.74,11.63,4.75,16269.2,6.5,5.39,272
4662,现代众车在线,1,3529.16,3.8,10.08,928,350,2.66,682.58,10.72,11.24,5.21,13277.65,11.9,5.08,371
4683,赢盈在线,0,710,15.43,32.27,46,22,0.29,0,0,9.4,2.2,870,25.51,60.35,22
4821,憨豆金服,1,308,5.6,22,55,14,1.82,1167.89,-20,10.91,3.22,1819.99,37.79,59.99,15
4843,便民投,0,390,5.74,65,68,6,0.49,638.32,-100,10.14,5.23,1477.94,31.19,67.66,9
4982,米庄理财,0,27141.73,4.43,0.22,6121,122833,35.25,0.6,-574.4,8.69,6.81,176263.08,2.92,0.1,209693
5070,千林贷,0,3012.3,9.18,33.85,328,89,1.08,909.3,-32,10.83,8.21,10757.2,17.29,9.3,95
5086,58红利,0,547,2.82,78.14,194,7,8.35,1090.52,-57,8.03,9.35,8354.91,9.3,11.97,9
5133,善林宝,1,7575.6,4.14,0.24,1832,30992,0.13,9.93,-49.59,7.45,3,15014.94,10.27,44.07,36666
5164,财小主,0,2314.3,8.73,66.12,265,35,2.13,697.19,136,10.97,3.92,10640.67,23.8,34.62,175
5216,E都市钱包,0,25614.83,3.83,0.33,6693,77133,3.23,9.3,945.47,9.11,0.98,32336.48,8.28,0.06,98904
5258,金元宝理财,0,8019.09,2.78,11.86,2880,676,10.23,50.8,40.56,11.2,10.03,53827.68,5.63,1.86,676
5310,花虾金融,0,80720.29,2.42,1.4,33387,57807,128.19,0.6,31.99,6.96,34.13,640963.21,3.07,0.04,374883
5355,米族金融,0,1652.09,2.47,0.17,670,9707,1.94,5.5,-60.17,8.61,0.44,9716.32,19.87,0.9,15113
5392,城铁在融,0,19393.47,10.85,89.78,1788,216,6.42,4.76,-120,13.08,2.5,42443.71,11.51,2.36,416
5514,改革牛,0,500,11.63,50,43,10,1.13,1302.6,0,10.98,5.82,3490,63.09,28.65,20
5525,元泰金服,1,846.18,2.6,12.63,325,67,1.1,345.22,10,8.98,4.07,10950.24,12.4,42.88,80
